deck,ev_farmer_X,kelly_f
44444444,0.00889877641824255,0.00458455713822047
00444444,0.0307422046552481,0.0157254752815014
01344444,0.0236056214317084,0.012201938985057
01434444,0.024609448522492,0.0126930149117234
01443444,0.024609448522492,0.012735342668936
01444344,0.024609448522492,0.0126986653899977
01444434,0.0251113620678838,0.0129032821650228
01444443,0.0226017943409248,0.0116257286006688
02244444,0.0237624694146433,0.0123011757946351
02334444,0.0202961289917811,0.0105283605693914
02343444,0.0205470857644771,0.0106969821980291
02344344,0.0200451722190852,0.0103966813819062
02344434,0.0212999560825647,0.0110276547215345
02344443,0.0185394315829098,0.00959132417460006
02424444,0.0237624694146433,0.0122328742409653
02433444,0.0200451722190852,0.0104033190658032
02434344,0.0202961289917811,0.0105149377113838
02434434,0.0207980425371731,0.0107390727980069
02434443,0.0187903883556058,0.0096904234649534
02442444,0.0237624694146433,0.0123395498984627
02443344,0.0197942154463894,0.0102931310530593
02443434,0.0212999560825647,0.0110353105098504
02443443,0.0185394315829098,0.00960049959293812
02444244,0.0237624694146433,0.0122509951204021
02444334,0.0212999560825647,0.0109953337274678
02444343,0.0187903883556058,0.0096924717448247
02444424,0.0257701235962106,0.0131823998785416
02444433,0.0190413451283017,0.00978152520150002
02444442,0.0197471610515089,0.0100882849791064
03144444,0.0316362381579773,0.0162568189735059
03234444,0.0238095238095238,0.0123147307792585
03243444,0.0240604805822197,0.012489660009014
03244344,0.0230566534914362,0.0119125909115617
03244434,0.0248133509003076,0.0128304367002777
03244443,0.0220528264006524,0.0113723890935886
03324444,0.0228056967187402,0.0117568188905059
03333444,0.0191040843214757,0.00992877380511024
03334344,0.0190099755317147,0.00985634751457831
03334434,0.0201392810088462,0.0104291966740527
03334443,0.017880670054583,0.0092324504557144
03342444,0.0230566534914362,0.0119927406553336
03343344,0.0187276491624317,0.00974616411269579
03343434,0.0205157161678901,0.0106647050772954
03343443,0.017880670054583,0.00927015410690042
03344244,0.0220528264006524,0.0113689679178984
03344334,0.0202333897986071,0.0104695611706326
03344343,0.0175042348955393,0.00903292960335938
03344424,0.0253152644456992,0.0130141586780798
03344433,0.0184453227931488,0.00950467311007511
03344442,0.0190413451283017,0.00973646572452781
03414444,0.0286247568856265,0.0145698284524901
03423444,0.0210489993098688,0.0108487890517975
03424344,0.0218018696279566,0.0112352536235235
03424434,0.0223037831733485,0.0114601211962004
03424443,0.0207980425371731,0.0106505747844787
03432444,0.0210489993098688,0.0109061280964982
03433344,0.0175042348955393,0.0090961020842799
03433434,0.0191040843214757,0.0098950309603649
03433443,0.0167513645774516,0.00865147909886094
03434244,0.0218018696279566,0.0112479742863432
03434334,0.0193864106907585,0.0100189552061865
03434343,0.0172219085262563,0.00887559697619965
03434424,0.0238095238095238,0.0122021780981737
03434433,0.0175042348955393,0.00898847234042048
03434442,0.0187903883556058,0.00957226001161278
03441444,0.0286247568856265,0.0148008102476021
03442344,0.0207980425371731,0.0108148109313757
03442434,0.023307610264132,0.0120822602164274
